client_id,age,region,months_with_bank,balance,transactions_last_month,mobile_app_logins,support_calls,has_credit,has_deposit,service_fee,churn
60,19,Kutaisi,96,3792.56,110,15,2,1,0,0,0
61,37,Kutaisi,109,1009.27,91,23,7,0,0,5,0
62,45,Rustavi,16,4019.96,34,13,6,1,0,0,0
63,64,Other,59,13683.12,22,25,0,0,0,5,0
64,24,Other,69,9497.68,45,7,2,0,0,0,0
65,61,Other,68,10815.82,14,13,0,0,0,0,0
66,25,Batumi,21,3857.29,1,30,0,0,0,5,0
67,64,Kutaisi,104,10790.82,60,1,6,0,0,5,1
68,52,Other,115,421.82,114,47,4,1,0,5,0
69,31,Other,78,5629.82,75,3,4,0,0,0,1
70,34,Batumi,103,9401.3,63,0,5,1,1,10,1
71,53,Batumi,95,2191.45,51,19,7,0,1,5,0
72,67,Other,78,12345.05,35,13,0,0,0,0,0
73,57,Tbilisi,70,3525.47,66,39,7,0,0,5,0
74,21,Other,12,9784.22,68,24,5,0,1,5,0
75,19,Other,16,6077.96,66,24,5,1,0,0,0
76,23,Batumi,81,8940.65,46,2,5,1,0,5,1
77,71,Batumi,109,1611.76,82,4,5,1,0,10,1
78,59,Other,87,253.69,1,37,3,1,0,10,1
79,21,Other,14,13643.47,43,25,6,0,0,0,0
80,71,Other,61,4044.45,100,39,6,1,0,10,1
81,46,Batumi,71,12295.16,63,37,3,1,1,0,0
82,35,Other,46,14990.25,117,37,0,1,0,15,0
83,43,Other,32,3171.47,80,3,3,0,0,0,1
84,61,Rustavi,15,3977.56,77,6,0,1,1,5,0
85,51,Tbilisi,44,9942.9,27,29,4,0,0,5,0
86,27,Kutaisi,17,14481.73,90,29,6,1,1,0,0
87,53,Tbilisi,41,13737.22,53,18,1,0,1,10,0
88,31,Rustavi,54,7543.13,73,38,2,0,0,5,0
89,48,Kutaisi,111,11926.65,66,34,6,0,1,0,0
90,65,Other,44,2036.19,35,39,3,0,0,5,0
91,32,Rustavi,98,14661.57,101,32,3,0,0,5,0
92,25,Other,5,14465.3,119,32,4,1,0,0,0
93,31,Batumi,109,2455.93,62,13,3,0,0,15,0
94,40,Rustavi,27,4491.35,24,37,0,0,1,10,0
95,74,Batumi,116,1502.32,85,9,0,0,0,0,0
96,57,Rustavi,87,4075.76,47,27,1,0,0,5,0
97,38,Rustavi,104,12239.34,38,13,1,0,0,0,0
98,33,Batumi,78,5674.73,46,35,6,0,0,10,0
99,62,Kutaisi,79,1325.95,93,37,1,0,0,15,0
100,35,Tbilisi,43,5133.38,20,15,0,0,0,0,0
101,64,Other,97,14720.75,29,20,7,0,1,10,1
102,70,Rustavi,117,9445.25,91,27,5,0,0,5,0
103,41,Other,31,6242.41,30,32,5,0,0,0,0
104,43,Batumi,99,2498.08,115,5,1,1,0,15,0
105,42,Other,17,14792.65,25,40,1,0,0,5,0
106,62,Batumi,92,12312.74,106,14,0,0,0,5,0
107,58,Other,83,4222.16,21,43,4,0,0,5,0
108,46,Tbilisi,110,1051.03,20,2,6,0,0,0,1
109,32,Tbilisi,54,849.38,0,42,3,0,0,0,0
110,62,Tbilisi,62,1805.67,36,46,6,0,0,15,0
111,18,Tbilisi,87,8711.53,76,34,2,0,0,5,0
112,42,Tbilisi,32,13931.45,84,13,5,0,0,10,1
113,24,Tbilisi,40,7451.15,45,1,7,0,0,0,1
114,26,Batumi,13,12644.18,8,28,5,0,0,5,0
115,41,Rustavi,84,6688.3,16,3,0,1,1,15,1
116,18,Other,35,10628.75,46,25,6,0,0,0,0
117,61,Tbilisi,5,10978.09,84,11,7,0,0,0,0
118,25,Batumi,73,2609.46,94,1,0,1,0,5,0
119,41,Batumi,29,5418.24,102,16,2,1,0,0,0
120,28,Batumi,70,9559.53,58,34,7,0,0,0,0
121,68,Rustavi,25,1060.45,53,9,6,1,1,10,0
122,34,Other,95,5423.1,85,47,7,0,1,15,1
123,25,Rustavi,22,8021.99,11,21,2,0,1,5,0
124,52,Kutaisi,66,14943.37,63,40,1,0,1,10,0
125,52,Batumi,45,7118.0,118,42,6,0,0,10,1
126,50,Kutaisi,69,12240.85,5,20,2,0,0,10,0
127,22,Tbilisi,91,6481.01,52,14,3,0,0,0,0
128,59,Tbilisi,89,11945.86,15,34,3,0,1,0,0
129,56,Rustavi,72,8931.22,89,47,5,0,0,0,0
130,58,Other,119,13298.93,4,20,3,0,0,0,0
131,45,Kutaisi,1,6164.14,72,20,6,0,0,0,0
132,24,Other,84,9064.57,45,20,3,0,1,0,0
133,26,Rustavi,44,9450.28,103,43,3,0,0,0,0
134,25,Tbilisi,87,6260.74,13,31,7,1,0,0,0
135,29,Other,96,2164.68,43,4,1,0,1,5,0
136,51,Other,75,1403.39,62,38,5,0,0,0,0
137,50,Tbilisi,39,250.07,105,8,0,1,1,10,0
138,65,Kutaisi,111,13103.01,93,17,5,0,0,0,0
139,72,Tbilisi,54,3547.12,51,20,5,1,0,10,0
140,40,Other,88,3172.6,115,7,5,0,1,15,0
141,41,Kutaisi,75,11040.53,25,43,2,0,0,10,0
142,54,Kutaisi,29,4800.24,52,33,0,0,0,10,0
143,52,Tbilisi,54,7590.67,108,9,2,0,0,15,0
144,61,Other,90,2437.67,28,40,1,0,0,0,0
145,57,Rustavi,16,14396.19,18,23,1,1,0,15,0
146,39,Other,99,12773.72,46,39,4,1,0,10,0
147,44,Batumi,20,12956.84,7,23,4,0,0,10,0
148,52,Rustavi,46,6101.61,22,31,7,1,1,0,0
149,18,Kutaisi,67,11435.42,116,32,1,0,0,5,0
150,52,Rustavi,65,2158.14,105,37,1,0,0,5,0
151,54,Kutaisi,58,129.29,34,43,2,0,0,5,0
152,64,Kutaisi,53,299.59,94,48,7,1,0,10,0
153,31,Rustavi,111,8799.03,52,33,1,0,1,0,0
154,20,Kutaisi,1,6830.92,98,10,6,0,0,0,0
155,18,Kutaisi,81,7770.23,95,30,0,1,1,5,0
156,22,Batumi,66,111.95,57,17,2,0,0,0,0
157,43,Other,29,6340.3,4,22,1,0,0,0,0
158,72,Other,84,10771.02,15,21,2,0,0,0,0
159,31,Batumi,70,6640.41,16,42,2,0,0,0,0
160,56,Rustavi,8,10983.29,31,17,3,0,0,5,0
161,44,Tbilisi,29,3495.28,101,39,7,1,0,0,0
162,26,Tbilisi,112,12197.13,95,46,4,0,0,15,1
163,32,Tbilisi,51,8826.47,51,40,7,0,1,10,1
164,32,Batumi,33,3161.45,19,46,2,0,0,10,0
165,43,Batumi,3,3550.81,111,38,7,0,0,0,0
166,59,Kutaisi,60,9420.46,119,19,5,0,0,5,0
167,30,Tbilisi,35,12449.09,65,12,6,1,0,5,0
168,68,Rustavi,69,6234.42,83,44,6,0,1,15,0
169,49,Rustavi,91,3874.51,110,0,2,0,0,10,0
170,56,Tbilisi,108,13005.17,81,3,5,0,0,5,1
171,66,Tbilisi,76,10039.02,0,23,6,0,0,10,1
172,69,Tbilisi,84,6721.28,57,35,3,1,0,0,0
173,49,Batumi,109,7318.5,92,35,1,1,0,0,0
174,21,Batumi,20,3063.85,92,44,2,0,0,5,0
175,47,Batumi,73,9402.04,82,1,3,1,1,0,0
176,54,Other,39,5381.14,43,27,7,0,0,0,0
177,40,Rustavi,4,14934.68,103,25,0,0,0,10,0
178,56,Rustavi,115,7202.75,5,22,7,0,0,0,0
179,62,Kutaisi,118,7288.28,107,14,3,0,0,5,0
180,32,Batumi,19,8487.78,102,35,4,1,1,15,0
181,60,Other,102,13751.34,49,26,4,0,1,0,0
182,46,Other,91,12012.27,117,5,1,0,0,0,0
183,53,Rustavi,45,6766.95,109,34,7,1,0,0,0
184,30,Batumi,43,10780.49,71,38,5,0,0,0,0
185,49,Kutaisi,13,8793.53,87,37,1,1,0,0,0
186,24,Batumi,13,7385.51,19,34,6,0,0,0,0
187,68,Tbilisi,60,2884.74,117,35,5,0,1,5,0
188,39,Batumi,57,6959.04,13,9,5,1,0,0,0
189,45,Tbilisi,86,3687.28,4,29,5,0,0,10,1
190,19,Tbilisi,92,13722.63,40,40,5,1,1,10,1
191,59,Kutaisi,52,5031.1,39,37,4,0,0,10,0
192,62,Rustavi,111,14283.96,33,28,7,1,1,5,0
193,74,Batumi,53,7995.83,79,42,6,0,0,0,0
194,70,Tbilisi,109,9473.17,44,38,4,0,1,10,1
195,23,Batumi,86,8144.11,70,49,2,1,0,0,0
196,45,Rustavi,43,1940.71,79,3,6,0,0,0,1
197,45,Rustavi,83,5637.32,70,4,4,1,0,10,1
198,61,Other,72,1487.19,26,3,1,1,0,0,1
199,61,Rustavi,116,9344.31,77,35,4,1,0,0,0
200,37,Kutaisi,72,6703.11,77,44,6,1,1,10,0
201,47,Tbilisi,42,11669.77,43,15,6,0,1,15,1
202,28,Other,90,3307.06,32,24,1,0,0,0,0
203,72,Kutaisi,112,2468.49,32,13,0,0,0,0,0
204,45,Batumi,115,6094.98,43,10,7,0,0,5,0
205,42,Tbilisi,26,13898.78,19,28,6,0,0,10,0
206,56,Rustavi,23,10656.33,116,33,4,0,0,0,0
207,50,Tbilisi,43,6283.85,110,21,1,0,1,5,0
208,18,Batumi,77,7759.08,35,13,5,0,0,15,0
209,74,Other,28,1263.2,6,23,7,0,0,0,0
210,44,Other,9,14768.64,31,38,6,1,0,15,1
211,74,Other,20,9996.11,111,25,7,0,0,15,0
212,69,Rustavi,56,4281.06,66,42,7,0,0,0,0
213,30,Kutaisi,83,8787.13,38,35,3,1,0,10,0
214,58,Kutaisi,112,1642.24,92,38,7,0,0,0,0
215,20,Tbilisi,39,14487.55,23,15,5,1,0,10,1
216,56,Rustavi,51,2621.77,85,37,2,0,0,10,0
217,23,Other,12,9720.45,69,31,7,0,0,0,0
218,25,Other,79,3681.82,111,5,6,0,0,10,0
219,44,Batumi,95,10763.42,87,33,1,1,0,10,0
220,26,Batumi,55,11652.32,103,7,5,0,1,0,0
221,54,Other,78,10101.3,86,29,4,1,0,0,0
222,50,Other,11,9217.49,53,26,4,0,0,0,0
223,68,Rustavi,26,13387.04,37,6,6,0,0,5,0
224,59,Kutaisi,42,1179.4,73,26,0,0,0,15,0
225,61,Batumi,27,4963.72,79,24,3,0,0,10,0
226,41,Kutaisi,11,3724.31,74,45,6,0,0,5,0
227,32,Rustavi,38,14820.21,31,40,1,1,0,5,0
228,71,Other,98,5840.85,44,14,5,0,1,0,0
229,49,Kutaisi,43,10989.19,60,24,3,0,1,0,0
230,49,Other,19,10270.88,69,21,0,0,0,5,0
231,41,Other,64,3181.22,87,17,6,1,0,5,0
232,58,Tbilisi,6,3584.97,96,11,2,1,1,5,0
233,69,Kutaisi,46,4219.27,52,22,3,1,0,15,0
234,66,Kutaisi,116,6166.91,50,44,0,1,0,5,0
235,66,Other,102,3514.88,75,38,6,1,1,5,0
236,69,Rustavi,113,294.77,55,24,7,1,1,0,0
237,29,Tbilisi,42,13190.9,26,9,6,1,0,15,0
238,56,Other,92,14484.15,37,29,1,0,0,10,0
239,19,Batumi,65,5123.56,61,9,6,0,0,10,0
240,20,Batumi,99,5077.6,17,33,2,0,1,5,0
241,66,Tbilisi,104,106.38,108,45,6,0,1,5,0
242,54,Rustavi,72,10203.76,102,12,4,0,0,5,0
243,66,Other,59,12381.6,63,28,0,0,0,0,0
244,73,Kutaisi,52,2199.12,118,37,7,1,0,5,0
245,34,Tbilisi,118,2395.0,76,40,4,0,0,15,1
246,66,Rustavi,47,11851.25,116,44,6,1,1,0,0
247,19,Kutaisi,7,9244.36,103,8,2,1,0,0,0
248,19,Batumi,11,672.91,29,12,0,1,0,10,0
249,45,Batumi,103,9338.2,116,36,0,1,0,0,0
250,71,Kutaisi,61,4633.77,48,13,6,1,0,5,0
251,40,Tbilisi,68,5530.88,40,36,2,0,0,5,0
252,54,Batumi,25,11545.97,115,8,1,0,0,0,0
253,49,Other,12,12164.03,12,7,7,0,1,10,1
254,50,Kutaisi,26,6005.35,33,38,0,1,0,5,0
255,18,Kutaisi,102,14207.29,99,39,7,1,1,10,0
256,36,Batumi,110,6096.94,93,2,2,1,0,10,1
257,19,Tbilisi,12,11577.54,24,46,3,0,0,10,0
258,70,Other,43,7258.16,65,39,4,0,0,0,0
259,61,Tbilisi,51,13462.98,99,32,0,0,1,0,0
260,43,Rustavi,117,13616.42,17,31,3,0,0,0,0
261,49,Rustavi,37,1311.25,4,6,0,0,0,5,0
262,23,Batumi,46,14047.4,18,18,1,0,0,10,0
263,49,Batumi,53,12383.02,41,33,6,1,0,5,0
264,72,Batumi,88,11869.66,17,13,2,0,1,10,0
265,21,Rustavi,80,3013.67,31,49,0,0,1,0,0
266,72,Tbilisi,13,12076.79,20,46,2,1,0,0,0
267,28,Tbilisi,89,12751.99,9,45,5,0,0,10,1
268,73,Batumi,118,4337.26,36,18,0,0,0,5,0
269,34,Other,54,14283.9,48,25,1,0,0,10,0
270,55,Tbilisi,57,747.9,85,16,1,0,1,0,0
271,41,Rustavi,116,2248.64,12,27,6,0,1,15,1
272,22,Kutaisi,118,8063.72,54,18,6,0,0,5,0
273,69,Kutaisi,4,8636.89,16,26,3,0,0,10,0
274,51,Kutaisi,75,9677.25,8,47,1,0,0,0,0
275,23,Other,96,254.54,87,18,2,0,0,5,0
276,39,Batumi,49,14405.5,43,32,5,1,0,15,0
277,28,Rustavi,7,668.82,77,6,7,0,0,10,0
278,65,Other,110,2145.93,45,28,1,1,0,0,0
279,33,Rustavi,11,210.22,7,42,0,0,0,0,0
280,50,Rustavi,92,8502.88,118,4,7,0,0,5,1
281,26,Batumi,54,13984.0,36,29,7,1,0,0,0
282,23,Kutaisi,105,9989.21,18,48,1,0,1,10,0
283,33,Batumi,87,12339.86,62,42,5,0,0,0,0
284,46,Other,45,199.22,91,7,2,0,1,0,0
285,20,Other,23,8130.23,45,41,0,0,0,5,0
286,37,Other,114,6893.44,104,11,3,1,1,5,0
287,53,Batumi,28,7484.52,93,41,3,1,1,10,0
288,36,Rustavi,107,1083.2,70,12,3,0,0,15,0
289,43,Rustavi,111,10266.53,25,25,6,0,0,0,0
290,20,Tbilisi,57,7548.31,103,17,0,0,1,10,0
291,36,Other,26,11477.23,45,41,7,1,0,0,0
292,37,Rustavi,25,7279.36,117,48,3,1,1,5,0
293,49,Tbilisi,54,2240.72,45,19,6,1,0,0,0
294,24,Rustavi,29,9723.85,74,15,1,0,0,0,0
295,69,Other,83,2585.8,13,36,7,1,0,0,0
296,58,Kutaisi,97,13085.92,84,2,0,0,0,0,0
297,50,Other,36,9196.74,62,26,0,0,1,10,0
298,57,Batumi,14,2358.06,71,14,0,1,0,10,0
299,56,Rustavi,78,14435.07,2,33,4,0,0,15,1
300,35,Rustavi,35,7775.48,27,44,6,1,0,5,0
301,57,Batumi,30,1093.48,28,21,7,0,0,0,0
302,18,Batumi,92,9402.49,86,39,2,1,0,0,0
303,28,Kutaisi,17,3797.98,17,22,4,0,0,0,0
304,45,Rustavi,67,12055.4,34,48,4,0,0,0,0
305,74,Rustavi,80,12267.33,76,3,4,0,0,5,0
306,42,Kutaisi,110,14684.21,75,40,2,0,0,5,0
307,67,Tbilisi,30,7528.04,46,22,4,0,0,0,0
308,40,Kutaisi,116,6824.35,113,46,3,0,1,0,0
309,48,Other,93,11302.13,4,8,0,0,1,0,0
310,47,Rustavi,45,1987.06,102,23,7,0,0,0,0
311,59,Batumi,79,8203.73,74,20,7,0,0,0,0
312,52,Other,110,8193.71,58,40,0,0,0,10,0
313,24,Rustavi,89,1342.1,74,45,6,1,0,0,0
314,33,Kutaisi,51,6269.76,58,15,1,1,0,10,0
315,43,Other,102,12799.27,110,24,5,0,1,0,0
316,65,Rustavi,106,12842.3,105,25,3,0,0,0,0
317,74,Tbilisi,47,1488.56,46,48,2,1,1,10,0
318,69,Tbilisi,53,1360.81,94,44,5,0,0,5,0
319,66,Batumi,64,3940.43,94,8,0,0,0,0,0
320,19,Rustavi,118,13121.49,12,14,4,0,1,10,0
321,18,Tbilisi,116,1933.54,77,38,7,0,0,0,0
322,65,Kutaisi,38,10799.95,112,32,6,0,0,0,0
323,29,Rustavi,64,1517.48,108,0,6,0,0,10,1
324,22,Kutaisi,87,9347.07,105,4,1,0,0,10,1
325,54,Kutaisi,89,5341.01,88,8,1,0,0,0,0
326,49,Tbilisi,106,11833.71,32,43,0,0,0,0,0
327,72,Rustavi,7,3505.36,96,5,3,0,0,10,0
328,26,Other,22,9588.03,61,27,6,0,0,0,0
329,58,Tbilisi,81,3535.24,78,44,5,0,1,0,0
330,52,Tbilisi,82,10704.9,15,25,1,1,0,5,0
331,36,Rustavi,113,13105.17,43,27,7,0,0,15,1
332,65,Rustavi,41,1902.03,57,39,7,0,0,0,0
333,33,Kutaisi,74,12998.94,119,14,0,0,0,10,0
334,20,Rustavi,10,8903.63,101,5,3,0,0,5,0
335,37,Kutaisi,57,1906.66,5,26,0,0,0,5,0
336,41,Tbilisi,7,6413.13,107,37,0,0,0,10,0
337,71,Batumi,112,2412.9,88,3,3,1,0,15,1
338,73,Other,50,10505.22,14,10,3,0,0,0,0
339,50,Tbilisi,102,11383.02,3,20,3,1,1,0,0
340,41,Rustavi,91,1586.95,55,29,7,0,0,15,0
341,69,Other,52,7592.1,63,17,7,1,0,5,0
342,28,Batumi,33,12219.38,67,34,0,1,0,5,0
343,66,Batumi,1,14042.45,93,2,1,1,0,5,0
344,25,Kutaisi,108,7702.77,33,11,2,0,1,10,0
345,53,Other,53,14254.19,90,26,2,0,0,10,0
346,55,Kutaisi,60,8035.33,94,29,0,1,1,15,0
347,57,Tbilisi,34,5912.86,55,20,0,1,0,5,0
348,37,Other,4,12723.05,31,37,1,1,0,0,0
349,52,Tbilisi,17,7394.74,107,20,3,0,1,5,0
350,65,Kutaisi,4,7078.54,102,37,0,1,0,5,0
351,42,Other,43,7354.69,115,39,6,0,1,5,0
352,52,Kutaisi,118,12701.78,8,14,7,0,0,5,0
353,42,Other,90,12479.12,62,17,4,0,0,0,0
354,46,Kutaisi,4,6052.8,104,28,3,0,0,5,0
355,35,Batumi,1,4999.5,71,47,6,1,0,5,0
356,63,Kutaisi,71,7378.92,77,37,7,0,0,10,0
357,35,Batumi,94,8591.59,32,20,0,0,0,5,0
358,19,Kutaisi,50,3575.06,86,16,4,0,0,0,0
359,71,Other,73,11909.33,20,40,6,0,0,5,0
360,52,Other,61,7297.24,54,17,5,0,0,10,1
361,33,Other,35,5010.68,75,36,1,0,1,5,0
362,58,Rustavi,8,1602.31,56,37,7,0,0,5,0
363,53,Tbilisi,24,3582.68,1,11,4,1,0,5,1
364,50,Other,83,14239.22,12,10,0,1,0,0,0
365,21,Batumi,36,4576.5,3,47,2,0,1,10,0
366,50,Other,50,2532.89,83,48,6,0,0,0,0
367,31,Rustavi,116,6910.09,49,19,0,0,0,5,0
368,38,Batumi,43,4606.32,114,8,2,1,0,0,0
369,65,Rustavi,27,527.39,47,0,1,0,0,0,0
370,37,Batumi,32,4847.18,77,2,1,0,0,5,1
371,73,Kutaisi,78,8161.63,29,20,3,0,1,5,0
372,25,Tbilisi,18,8275.69,28,22,6,1,0,10,1
373,24,Tbilisi,28,5348.38,7,8,3,0,0,10,0
374,20,Rustavi,29,6709.54,11,18,2,0,1,10,0
375,34,Tbilisi,16,14482.77,40,44,2,1,0,5,0
376,50,Rustavi,99,5660.23,101,45,1,0,1,5,0
377,65,Rustavi,47,3873.4,25,18,4,1,1,5,0
378,29,Rustavi,59,3652.01,49,22,2,0,0,5,0
379,68,Tbilisi,31,6866.47,1,26,2,1,0,5,0
380,39,Rustavi,4,11392.8,54,26,6,0,0,15,0
381,72,Tbilisi,37,3089.82,103,38,4,1,0,0,0
382,39,Rustavi,17,10639.44,55,35,3,0,1,15,0
383,63,Other,39,317.25,13,11,3,1,1,0,0
384,47,Rustavi,48,6283.99,5,26,2,0,0,0,0
385,55,Batumi,46,11637.98,105,45,6,0,0,0,0
386,55,Rustavi,90,5080.99,103,33,3,1,0,5,0
387,62,Kutaisi,48,8456.06,94,32,3,0,0,0,0
388,68,Rustavi,39,3074.69,80,27,5,0,0,10,1
389,71,Batumi,105,11129.93,88,30,6,0,1,10,1
390,25,Batumi,4,784.19,60,31,3,1,0,5,0
391,44,Tbilisi,30,12788.14,95,49,1,0,1,5,0
392,44,Other,30,2972.95,11,19,0,1,0,15,0
393,51,Rustavi,22,13115.97,112,39,2,0,0,10,0
394,38,Tbilisi,75,5287.94,12,34,7,0,0,5,0
395,47,Other,66,10840.25,18,30,2,0,1,10,0
396,50,Rustavi,108,4788.38,43,30,1,0,0,5,0
397,45,Kutaisi,12,13588.68,111,37,7,0,0,5,0
398,64,Rustavi,94,1899.56,88,21,0,0,0,0,0
399,50,Batumi,36,2677.8,94,44,0,0,0,5,0
400,22,Batumi,18,7395.45,58,40,1,1,0,0,0
401,65,Kutaisi,90,1229.08,36,8,4,0,0,0,0
402,36,Tbilisi,53,2939.7,24,8,4,0,0,5,0
403,21,Other,71,14156.5,15,14,0,0,0,15,0
404,52,Rustavi,1,14647.34,37,12,4,0,0,15,0
405,66,Batumi,58,5643.89,42,21,4,0,1,5,0
406,34,Tbilisi,90,13849.29,112,15,4,0,0,5,0
407,61,Kutaisi,87,8172.37,86,31,0,1,0,0,0
408,45,Batumi,90,4046.14,13,1,7,0,0,5,0
409,47,Kutaisi,109,10535.98,5,25,4,0,0,0,0
410,46,Rustavi,6,9883.53,88,13,7,0,0,0,0
411,63,Other,70,14836.88,22,37,2,0,1,5,0
412,70,Batumi,44,3975.71,59,33,5,0,0,0,0
413,23,Batumi,72,10080.89,106,7,0,0,0,0,0
414,52,Rustavi,24,780.36,11,35,1,0,0,10,0
415,58,Tbilisi,86,1704.69,12,20,4,0,0,0,0
416,54,Other,19,58.78,99,45,3,1,1,0,0
417,41,Batumi,101,14991.91,102,42,0,0,1,0,0
418,46,Other,18,12034.11,97,27,6,0,0,0,0
419,66,Batumi,95,11800.85,5,45,1,0,0,0,0
420,63,Other,101,7645.89,62,43,5,0,1,10,0
421,70,Kutaisi,30,4501.01,37,47,2,0,0,0,0
422,48,Batumi,42,2268.96,49,5,7,0,0,10,0
423,52,Other,33,4270.12,51,19,7,1,1,0,0
424,50,Tbilisi,74,5639.57,39,30,6,0,0,5,0
425,69,Kutaisi,101,11344.65,7,32,1,0,0,5,0
426,38,Kutaisi,12,8094.93,60,43,4,0,1,5,0
427,49,Tbilisi,118,1162.25,7,6,3,0,0,5,0
428,40,Other,94,270.44,103,7,4,0,0,15,0
429,50,Rustavi,27,1534.98,96,8,1,0,0,0,0
430,20,Tbilisi,39,6157.48,33,1,0,0,0,5,1
431,35,Other,9,13997.89,107,16,6,0,0,10,0
432,42,Tbilisi,118,9561.04,78,44,3,0,0,0,0
433,59,Tbilisi,21,12027.39,99,36,7,1,0,0,0
434,48,Batumi,76,6995.62,59,41,6,0,1,0,0
435,71,Other,119,5424.99,56,43,6,0,0,5,0
436,20,Rustavi,29,1626.01,98,16,3,1,0,0,0
437,57,Batumi,33,13139.0,45,37,7,1,0,0,0
438,63,Tbilisi,107,11747.4,21,34,7,1,1,5,0
439,41,Tbilisi,62,2521.77,86,46,1,0,0,5,0
440,67,Tbilisi,117,7683.91,39,38,5,1,0,0,0
441,49,Other,15,7310.62,44,29,5,0,0,0,0
442,64,Other,2,9376.37,54,5,4,0,0,5,0
443,39,Batumi,52,14192.8,50,3,1,0,0,15,1
444,40,Rustavi,103,8696.57,85,36,3,1,0,5,0
445,19,Batumi,117,8103.26,4,34,1,0,1,10,1
446,44,Kutaisi,44,754.84,94,8,3,0,1,0,0
447,59,Tbilisi,54,943.61,12,5,6,0,1,0,0
448,19,Tbilisi,18,2810.2,27,12,4,0,0,5,0
449,43,Tbilisi,3,487.06,83,21,0,1,1,10,0
450,34,Batumi,7,11150.29,96,27,6,0,1,5,0
451,57,Batumi,43,10849.95,79,29,7,0,0,10,0
452,50,Tbilisi,82,2040.84,61,35,0,1,0,15,0
453,26,Batumi,108,12541.18,92,1,1,0,0,0,0
454,60,Other,38,2321.79,86,35,3,0,0,0,0
455,71,Other,37,4517.63,23,7,0,1,0,0,0
456,65,Batumi,58,3734.65,97,44,6,1,0,0,0
