FREQ,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,Value,Year,Month
M,BWA,Botswana,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",31.74832,2000,1
M,BWA,Botswana,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",31.912372,2000,1
M,BWA,Botswana,FAO_CP_23014,Food price inflation,,2000,1
M,CAF,Central African Republic,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",52.518907,2000,1
M,CAN,Canada,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",73.875904,2000,1
M,CAN,Canada,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",64.948845,2000,1
M,CAN,Canada,FAO_CP_23014,Food price inflation,,2000,1
M,CHE,Switzerland,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",92.799499,2000,1
M,CHE,Switzerland,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",94.438543,2000,1
M,CHE,Switzerland,FAO_CP_23014,Food price inflation,,2000,1
M,CHL,Chile,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",60.785427,2000,1
M,CHL,Chile,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",49.097873,2000,1
M,CHL,Chile,FAO_CP_23014,Food price inflation,,2000,1
M,CHN,China,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",70.937118,2000,1
M,CHN,China,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",47.94461,2000,1
M,CHN,China,FAO_CP_23014,Food price inflation,,2000,1
M,CIV,Cote d'Ivoire,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",65.989325,2000,1
M,CIV,Cote d'Ivoire,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",56.345867,2000,1
M,CIV,Cote d'Ivoire,FAO_CP_23014,Food price inflation,,2000,1
M,CMR,Cameroon,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",68.032862,2000,1
M,CMR,Cameroon,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",65.066157,2000,1
M,CMR,Cameroon,FAO_CP_23014,Food price inflation,,2000,1
M,COD,"Congo, Dem. Rep.",FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",2.296981,2000,1
M,COD,"Congo, Dem. Rep.",FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",2.328813,2000,1
M,COD,"Congo, Dem. Rep.",FAO_CP_23014,Food price inflation,,2000,1
M,COG,"Congo, Rep.",FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",71.036954,2000,1
M,COG,"Congo, Rep.",FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",74.598082,2000,1
M,COG,"Congo, Rep.",FAO_CP_23014,Food price inflation,,2000,1
M,COK,Cook Islands,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",62.002621,2000,1
M,COK,Cook Islands,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",64.850158,2000,1
M,COK,Cook Islands,FAO_CP_23014,Food price inflation,,2000,1
M,COL,Colombia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",47.110351,2000,1
M,COL,Colombia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",39.751533,2000,1
M,COL,Colombia,FAO_CP_23014,Food price inflation,,2000,1
M,COM,Comoros,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",65.969363,2000,1
M,COM,Comoros,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",67.389741,2000,1
M,COM,Comoros,FAO_CP_23014,Food price inflation,,2000,1
M,CPV,Cabo Verde,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",72.623959,2000,1
M,CPV,Cabo Verde,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",74.631668,2000,1
M,CPV,Cabo Verde,FAO_CP_23014,Food price inflation,,2000,1
M,CRI,Costa Rica,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",29.591642,2000,1
M,CRI,Costa Rica,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",24.761336,2000,1
M,CRI,Costa Rica,FAO_CP_23014,Food price inflation,,2000,1
M,CUW,Curacao,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",69.518805,2000,1
M,CUW,Curacao,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",36.17415,2000,1
M,CUW,Curacao,FAO_CP_23014,Food price inflation,,2000,1
M,CYM,Cayman Islands,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",76.720615,2000,1
M,CYM,Cayman Islands,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",59.549366,2000,1
M,CYM,Cayman Islands,FAO_CP_23014,Food price inflation,,2000,1
M,CYP,Cyprus,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",75.198859,2000,1
M,CYP,Cyprus,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",63.939164,2000,1
M,CYP,Cyprus,FAO_CP_23014,Food price inflation,,2000,1
M,CZE,Czechia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",71.6,2000,1
M,CZE,Czechia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",72.8,2000,1
M,CZE,Czechia,FAO_CP_23014,Food price inflation,,2000,1
M,DEU,Germany,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",79.486353,2000,1
M,DEU,Germany,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",75.687563,2000,1
M,DEU,Germany,FAO_CP_23014,Food price inflation,,2000,1
M,DJI,Djibouti,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",61.746035,2000,1
M,DJI,Djibouti,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",45.280688,2000,1
M,DJI,Djibouti,FAO_CP_23014,Food price inflation,,2000,1
M,DMA,Dominica,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",77.868208,2000,1
M,DMA,Dominica,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",60.8734,2000,1
M,DMA,Dominica,FAO_CP_23014,Food price inflation,,2000,1
M,DNK,Denmark,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",74.94642,2000,1
M,DNK,Denmark,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",72.98389,2000,1
M,DNK,Denmark,FAO_CP_23014,Food price inflation,,2000,1
M,DOM,Dominican Republic,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",25.895684,2000,1
M,DOM,Dominican Republic,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",25.198654,2000,1
M,DOM,Dominican Republic,FAO_CP_23014,Food price inflation,,2000,1
M,DZA,Algeria,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",57.633247,2000,1
M,DZA,Algeria,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",52.947178,2000,1
M,DZA,Algeria,FAO_CP_23014,Food price inflation,,2000,1
M,ECU,Ecuador,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",26.821681,2000,1
M,ECU,Ecuador,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",14.583788,2000,1
M,ECU,Ecuador,FAO_CP_23014,Food price inflation,,2000,1
M,EGY,"Egypt, Arab Rep.",FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",28.439874,2000,1
M,EGY,"Egypt, Arab Rep.",FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",20.31898,2000,1
M,EGY,"Egypt, Arab Rep.",FAO_CP_23014,Food price inflation,,2000,1
M,ESP,Spain,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",70.040867,2000,1
M,ESP,Spain,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",66.239988,2000,1
M,ESP,Spain,FAO_CP_23014,Food price inflation,,2000,1
M,EST,Estonia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",58.449962,2000,1
M,EST,Estonia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",54.586316,2000,1
M,EST,Estonia,FAO_CP_23014,Food price inflation,,2000,1
M,ETH,Ethiopia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",17.740224,2000,1
M,ETH,Ethiopia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",15.238649,2000,1
M,ETH,Ethiopia,FAO_CP_23014,Food price inflation,,2000,1
M,FIN,Finland,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",77.56198,2000,1
M,FIN,Finland,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",70.15604,2000,1
M,FIN,Finland,FAO_CP_23014,Food price inflation,,2000,1
M,FJI,Fiji,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",59.448757,2000,1
M,FJI,Fiji,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",48.692369,2000,1
M,FJI,Fiji,FAO_CP_23014,Food price inflation,,2000,1
M,FRA,France,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",79.17,2000,1
M,FRA,France,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",76.5,2000,1
M,FRA,France,FAO_CP_23014,Food price inflation,,2000,1
M,FSM,"Micronesia, Fed. Sts.",FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",63.106726,2000,1
M,FSM,"Micronesia, Fed. Sts.",FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",61.610429,2000,1
M,FSM,"Micronesia, Fed. Sts.",FAO_CP_23014,Food price inflation,,2000,1
M,GAB,Gabon,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",74.559614,2000,1
M,GAB,Gabon,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",66.588339,2000,1
M,GAB,Gabon,FAO_CP_23014,Food price inflation,,2000,1
M,GBR,United Kingdom,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",72.6,2000,1
M,GBR,United Kingdom,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",65.7,2000,1
M,GBR,United Kingdom,FAO_CP_23014,Food price inflation,,2000,1
M,GEO,Georgia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",45.753638,2000,1
M,GEO,Georgia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",35.083781,2000,1
M,GEO,Georgia,FAO_CP_23014,Food price inflation,,2000,1
M,GHA,Ghana,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",8.542756,2000,1
M,GHA,Ghana,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",12.598269,2000,1
M,GHA,Ghana,FAO_CP_23014,Food price inflation,,2000,1
M,GIN,Guinea,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",11.532579,2000,1
M,GIN,Guinea,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",8.181792,2000,1
M,GIN,Guinea,FAO_CP_23014,Food price inflation,,2000,1
M,GLP,Guadeloupe,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",76.870495,2000,1
M,GLP,Guadeloupe,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",73.34458,2000,1
M,GLP,Guadeloupe,FAO_CP_23014,Food price inflation,,2000,1
M,GMB,"Gambia, The",FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",38.967676,2000,1
M,GMB,"Gambia, The",FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",31.846818,2000,1
M,GMB,"Gambia, The",FAO_CP_23014,Food price inflation,,2000,1
M,GNB,Guinea-Bissau,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",64.024577,2000,1
M,GNB,Guinea-Bissau,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",53.786788,2000,1
M,GNB,Guinea-Bissau,FAO_CP_23014,Food price inflation,,2000,1
M,GNQ,Equatorial Guinea,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",47.620649,2000,1
M,GNQ,Equatorial Guinea,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",40.206947,2000,1
M,GNQ,Equatorial Guinea,FAO_CP_23014,Food price inflation,,2000,1
M,GRC,Greece,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",69.936044,2000,1
M,GRC,Greece,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",70.304852,2000,1
M,GRC,Greece,FAO_CP_23014,Food price inflation,,2000,1
M,GRD,Grenada,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",70.999273,2000,1
M,GRD,Grenada,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",58.798213,2000,1
M,GRD,Grenada,FAO_CP_23014,Food price inflation,,2000,1
M,GRL,Greenland,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",67.038036,2000,1
M,GRL,Greenland,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",62.854252,2000,1
M,GRL,Greenland,FAO_CP_23014,Food price inflation,,2000,1
M,GTM,Guatemala,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",41.598848,2000,1
M,GTM,Guatemala,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",27.676858,2000,1
M,GTM,Guatemala,FAO_CP_23014,Food price inflation,,2000,1
M,GUF,French Guiana,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",87.014719,2000,1
M,GUF,French Guiana,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",77.849927,2000,1
M,GUF,French Guiana,FAO_CP_23014,Food price inflation,,2000,1
M,GUM,Guam,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",59.29061,2000,1
M,GUM,Guam,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",45.509112,2000,1
M,GUM,Guam,FAO_CP_23014,Food price inflation,,2000,1
M,GUY,Guyana,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",50.613564,2000,1
M,HKG,"Hong Kong SAR, China",FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",78.607624,2000,1
M,HKG,"Hong Kong SAR, China",FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",57.982754,2000,1
M,HKG,"Hong Kong SAR, China",FAO_CP_23014,Food price inflation,,2000,1
M,HND,Honduras,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",35.294402,2000,1
M,HND,Honduras,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",38.777807,2000,1
M,HND,Honduras,FAO_CP_23014,Food price inflation,,2000,1
M,HRV,Croatia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",68.8,2000,1
M,HRV,Croatia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",70.1,2000,1
M,HRV,Croatia,FAO_CP_23014,Food price inflation,,2000,1
M,HTI,Haiti,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",23.414658,2000,1
M,HTI,Haiti,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",22.563697,2000,1
M,HTI,Haiti,FAO_CP_23014,Food price inflation,,2000,1
M,HUN,Hungary,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",49.668092,2000,1
M,HUN,Hungary,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",44.542588,2000,1
M,HUN,Hungary,FAO_CP_23014,Food price inflation,,2000,1
M,IDN,Indonesia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",32.456336,2000,1
M,IDN,Indonesia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",28.333531,2000,1
M,IDN,Indonesia,FAO_CP_23014,Food price inflation,,2000,1
M,IND,India,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",36.186129,2000,1
M,IND,India,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",37.928656,2000,1
M,IND,India,FAO_CP_23014,Food price inflation,,2000,1
M,IRL,Ireland,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",72.329413,2000,1
M,IRL,Ireland,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",87.61186,2000,1
M,IRL,Ireland,FAO_CP_23014,Food price inflation,,2000,1
M,IRN,"Iran, Islamic Rep.",FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",8.571257,2000,1
M,IRN,"Iran, Islamic Rep.",FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",6.168547,2000,1
M,IRN,"Iran, Islamic Rep.",FAO_CP_23014,Food price inflation,,2000,1
M,IRQ,Iraq,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",14.653454,2000,1
M,IRQ,Iraq,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",25.387076,2000,1
M,IRQ,Iraq,FAO_CP_23014,Food price inflation,,2000,1
M,ISL,Iceland,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",45.659432,2000,1
M,ISL,Iceland,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",51.204107,2000,1
M,ISL,Iceland,FAO_CP_23014,Food price inflation,,2000,1
M,ISR,Israel,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",75.459453,2000,1
M,ISR,Israel,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",66.220556,2000,1
M,ISR,Israel,FAO_CP_23014,Food price inflation,,2000,1
M,ITA,Italy,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",74.05929,2000,1
M,ITA,Italy,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",70.9893,2000,1
M,ITA,Italy,FAO_CP_23014,Food price inflation,,2000,1
M,JAM,Jamaica,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",23.263952,2000,1
M,JAM,Jamaica,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",19.358884,2000,1
M,JAM,Jamaica,FAO_CP_23014,Food price inflation,,2000,1
M,JOR,Jordan,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",58.024839,2000,1
M,JOR,Jordan,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",49.78952,2000,1
M,JOR,Jordan,FAO_CP_23014,Food price inflation,,2000,1
M,JPN,Japan,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",99.213982,2000,1
M,JPN,Japan,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",92.06326,2000,1
M,JPN,Japan,FAO_CP_23014,Food price inflation,,2000,1
